id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,International Love,Pitbull,pop,happy,0.88,130,0.82,0.91,0.05
12,California Gurls,Katy Perry,pop,happy,0.85,120,0.88,0.87,0.04
13,Viva La Vida,Coldplay,rock,intense,0.73,138,0.61,0.55,0.12
14,Holding Out for a Hero,Bonnie Tyler,rock,intense,0.92,144,0.72,0.64,0.08
15,Moskau,Dschinghis Khan,pop,happy,0.90,136,0.91,0.83,0.06
16,Rasputin,Boney M,pop,happy,0.86,126,0.85,0.85,0.07
17,Thunder in Your Heart,Little Barrie,rock,moody,0.78,112,0.54,0.62,0.14
18,Hips Don't Lie,Shakira,latin,happy,0.87,100,0.89,0.91,0.11
19,Lose Yourself,Eminem,hip-hop,intense,0.94,171,0.53,0.78,0.04
20,Blinding Lights,The Weeknd,synthwave,moody,0.87,171,0.66,0.80,0.09
21,Bohemian Rhapsody,Queen,rock,intense,0.85,144,0.62,0.52,0.18
22,River Flows in You,Yiruma,classical,relaxed,0.18,68,0.78,0.22,0.97
23,Uptown Funk,Mark Ronson,funk,happy,0.91,115,0.95,0.89,0.03
24,Smells Like Teen Spirit,Nirvana,grunge,intense,0.92,116,0.44,0.65,0.08
25,Despacito,Luis Fonsi,latin,relaxed,0.65,89,0.83,0.77,0.31
26,Lose Control,Missy Elliott,hip-hop,happy,0.83,102,0.87,0.90,0.06
27,No Woman No Cry,Bob Marley,reggae,relaxed,0.45,75,0.80,0.48,0.72
28,So What,Miles Davis,jazz,relaxed,0.32,92,0.55,0.38,0.88
29,Take Five,Dave Brubeck Quartet,jazz,focused,0.40,174,0.48,0.44,0.83
30,Fly Me to the Moon,Frank Sinatra,jazz,happy,0.58,144,0.82,0.65,0.74
31,The Thrill Is Gone,B.B. King,blues,moody,0.52,62,0.38,0.45,0.70
32,Sweet Home Chicago,Robert Johnson,blues,happy,0.64,104,0.76,0.62,0.85
33,Mannish Boy,Muddy Waters,blues,intense,0.70,78,0.44,0.55,0.65
34,Born Under a Bad Sign,Albert King,blues,moody,0.60,80,0.46,0.50,0.68
35,Pride and Joy,Stevie Ray Vaughan,blues,happy,0.75,120,0.78,0.68,0.55
36,Cross Road Blues,Robert Johnson,blues,intense,0.68,96,0.42,0.52,0.90
37,Stormy Monday,T-Bone Walker,blues,moody,0.45,65,0.35,0.40,0.75
38,I'd Rather Go Blind,Etta James,blues,moody,0.38,58,0.32,0.35,0.72
39,Red House,Jimi Hendrix,blues,intense,0.72,76,0.40,0.55,0.60
40,Shake Your Money Maker,Elmore James,blues,happy,0.66,110,0.72,0.65,0.80
41,HUMBLE.,Kendrick Lamar,rap,intense,0.88,150,0.43,0.72,0.06
42,God's Plan,Drake,rap,happy,0.78,110,0.76,0.75,0.10
43,Sicko Mode,Travis Scott,rap,intense,0.92,155,0.38,0.68,0.04
44,Old Town Road,Lil Nas X,rap,happy,0.73,136,0.76,0.70,0.18
45,Alright,Kendrick Lamar,rap,moody,0.65,95,0.50,0.62,0.08
